claim_id,worker_id,city,zone,date,claim_type,inactive_hours,payout_amount,rainfall_mm,aqi,temperature_c,gps_consistent,activity_coherent,timing_correlated,device_clean,confidence_score,is_legitimate,status
CLM-100018,GK-11678,Chennai,T. Nagar,2025-12-04,Civic Disruption,4.9,296.23,38.3,153,22.9,True,True,True,True,100,True,approved
CLM-100019,GK-11856,Mumbai,Andheri,2025-11-23,Civic Disruption,9.9,458.38,0.0,168,28.1,True,True,True,True,79,True,review
CLM-100020,GK-10590,Mumbai,Bandra,2025-12-03,Heavy Rainfall,6.3,214.93,0.0,169,21.6,True,True,True,True,77,True,review
CLM-100021,GK-10822,Delhi,Chandni Chowk,2025-12-07,Severe AQI,4.9,182.58,0.0,105,28.7,True,True,False,True,73,False,review
CLM-100022,GK-11344,Chennai,Chromepet,2025-11-14,Flooding,7.9,436.07,50.6,101,30.6,True,True,True,True,100,True,approved
CLM-100023,GK-10362,Chennai,Adyar,2025-10-27,Civic Disruption,5.2,186.37,0.0,73,31.7,False,True,False,True,59,False,review
CLM-100024,GK-11575,Delhi,Janakpuri,2025-11-19,Severe AQI,8.7,522.37,0.0,369,39.2,True,True,True,True,100,True,approved
CLM-100025,GK-11147,Delhi,Chandni Chowk,2025-11-05,Extreme Heat,5.4,197.83,0.0,345,43.3,True,True,True,True,100,True,approved
CLM-100026,GK-10448,Mumbai,Powai,2025-12-07,Flooding,8.0,372.83,0.0,160,21.6,True,True,True,True,79,True,review
CLM-100027,GK-11057,Chennai,T. Nagar,2025-10-23,Extreme Heat,8.6,516.94,30.8,118,32.3,True,True,True,True,100,True,approved
CLM-100028,GK-11032,Mumbai,Powai,2026-02-04,Civic Disruption,8.5,517.33,0.0,89,28.9,True,True,True,True,81,True,approved
CLM-100029,GK-10823,Delhi,Chandni Chowk,2025-11-08,Severe AQI,7.2,538.51,0.0,434,44.4,True,True,True,True,100,True,approved
CLM-100030,GK-11082,Delhi,Rohini,2026-03-17,Extreme Heat,9.4,525.95,0.0,102,45.1,True,True,True,True,100,True,approved
CLM-100031,GK-11090,Delhi,Lajpat Nagar,2026-03-29,Extreme Heat,3.7,145.06,0.0,53,45.5,True,True,True,True,100,True,approved
CLM-100032,GK-10670,Mumbai,Andheri,2026-01-26,Severe AQI,3.8,210.72,0.0,64,22.3,True,False,True,True,63,True,review
CLM-100033,GK-10661,Delhi,Saket,2025-11-21,Heavy Rainfall,4.3,362.64,7.8,151,33.1,False,False,False,False,27,False,rejected
CLM-100034,GK-11339,Mumbai,Navi Mumbai,2026-02-25,Extreme Heat,8.4,412.39,0.0,134,33.9,False,True,False,True,43,False,rejected
CLM-100035,GK-11909,Delhi,Chandni Chowk,2025-12-16,Severe AQI,8.8,564.35,0.0,413,32.3,True,True,True,True,100,True,approved
CLM-100036,GK-10582,Chennai,Anna Nagar,2025-10-28,Extreme Heat,4.0,270.95,37.1,120,31.5,True,False,True,True,88,True,approved
CLM-100037,GK-11290,Mumbai,Navi Mumbai,2026-01-27,Civic Disruption,5.5,610.47,4.3,282,18.9,False,True,True,False,50,False,review
CLM-100038,GK-11652,Chennai,Adyar,2025-11-29,Extreme Heat,6.6,499.18,32.2,108,30.1,True,True,False,True,86,True,approved
CLM-100039,GK-11582,Delhi,Chandni Chowk,2025-12-23,Severe AQI,3.0,134.36,0.0,355,18.8,True,True,True,True,100,True,approved
CLM-100040,GK-10358,Mumbai,Bandra,2026-03-02,Flooding,4.3,172.95,0.0,125,34.4,True,True,True,True,84,False,approved
CLM-100041,GK-10589,Mumbai,Powai,2026-01-28,Civic Disruption,4.2,204.53,0.0,277,24.1,True,True,True,True,78,True,review
CLM-100042,GK-10340,Chennai,Anna Nagar,2025-11-07,Heavy Rainfall,8.9,248.08,45.3,138,36.8,True,False,True,True,86,True,approved
CLM-100043,GK-10183,Mumbai,Powai,2025-12-15,Heavy Rainfall,8.9,292.33,42.9,188,25.3,True,True,True,True,100,True,approved
CLM-100044,GK-11637,Delhi,Dwarka,2026-03-07,Civic Disruption,7.5,531.19,0.0,157,25.5,False,False,False,False,30,False,rejected
CLM-100045,GK-10125,Delhi,Rohini,2025-11-05,Severe AQI,6.5,259.6,0.0,500,40.1,True,True,False,True,86,True,approved
CLM-100046,GK-10879,Mumbai,Thane,2026-01-16,Flooding,6.2,497.84,0.0,98,27.5,True,True,True,True,75,True,review
CLM-100047,GK-10494,Chennai,Mylapore,2025-12-01,Heavy Rainfall,5.6,460.54,41.1,214,25.9,True,True,True,True,100,True,approved
CLM-100048,GK-10013,Delhi,Karol Bagh,2026-01-25,Severe AQI,6.5,424.54,0.0,387,28.8,True,True,True,True,100,True,approved
CLM-100049,GK-10756,Mumbai,Kurla,2026-02-10,Extreme Heat,8.1,397.35,0.0,160,25.8,False,False,False,False,25,False,rejected
CLM-100050,GK-11537,Delhi,Janakpuri,2025-11-29,Heavy Rainfall,4.2,249.69,0.0,146,26.1,True,True,False,True,74,False,review
CLM-100051,GK-10200,Mumbai,Navi Mumbai,2025-12-10,Extreme Heat,9.1,698.16,0.0,26,23.9,True,True,True,True,82,True,approved
CLM-100052,GK-11036,Chennai,Anna Nagar,2025-12-12,Heavy Rainfall,4.6,251.95,80.1,154,31.9,True,True,True,True,100,True,approved
CLM-100053,GK-11135,Delhi,Saket,2025-11-25,Civic Disruption,8.6,519.81,0.0,340,22.6,True,True,True,True,100,True,approved
CLM-100054,GK-11905,Delhi,Karol Bagh,2026-01-01,Severe AQI,3.5,255.64,0.0,355,23.9,True,True,True,True,100,True,approved
CLM-100055,GK-10520,Chennai,Anna Nagar,2025-10-27,Flooding,9.0,645.61,63.9,138,28.1,True,True,True,True,100,True,approved
CLM-100056,GK-10236,Delhi,Janakpuri,2025-12-02,Severe AQI,4.1,206.79,0.0,366,24.6,True,True,True,True,100,True,approved
CLM-100057,GK-10148,Delhi,Janakpuri,2026-01-27,Severe AQI,5.0,442.16,0.0,441,36.1,False,False,True,True,72,True,review
CLM-100058,GK-10866,Delhi,Connaught Place,2025-11-15,Severe AQI,8.3,670.6,4.2,402,34.8,True,True,True,True,100,True,approved
CLM-100059,GK-10473,Delhi,Chandni Chowk,2026-01-24,Flooding,9.1,733.54,0.0,344,27.8,True,True,True,True,100,True,approved
CLM-100060,GK-10785,Delhi,Connaught Place,2025-12-07,Severe AQI,4.8,261.05,0.0,324,32.0,True,True,True,True,100,True,approved
CLM-100061,GK-11438,Mumbai,Malad,2026-01-10,Severe AQI,8.8,470.09,0.0,124,24.1,True,True,True,True,82,True,approved
CLM-100062,GK-11675,Delhi,Saket,2026-03-28,Extreme Heat,8.4,512.7,0.0,205,45.0,True,False,True,True,82,True,approved
CLM-100063,GK-11441,Delhi,Nehru Place,2026-03-21,Extreme Heat,9.3,462.52,0.0,229,44.0,True,True,True,True,100,True,approved
CLM-100064,GK-11162,Chennai,Anna Nagar,2025-11-13,Extreme Heat,4.1,212.05,0.0,129,29.8,False,False,False,False,34,False,rejected
CLM-100065,GK-11356,Mumbai,Goregaon,2026-01-09,Severe AQI,4.0,119.84,2.0,93,22.1,True,True,True,True,83,True,approved
CLM-100066,GK-11825,Delhi,Saket,2026-01-11,Flooding,7.3,384.63,0.0,326,16.6,True,True,True,True,100,True,approved
CLM-100067,GK-10544,Mumbai,Dadar,2026-02-27,Civic Disruption,7.8,517.95,0.0,108,25.5,True,True,True,True,77,True,review
CLM-100068,GK-10551,Delhi,Chandni Chowk,2026-02-23,Civic Disruption,8.0,461.84,0.0,173,26.8,False,False,False,False,22,False,rejected
CLM-100069,GK-11243,Chennai,Porur,2026-03-07,Heavy Rainfall,8.7,529.45,0.0,171,33.6,False,False,True,True,46,False,rejected
CLM-100070,GK-10446,Delhi,Karol Bagh,2026-01-29,Severe AQI,3.2,116.81,0.8,483,19.4,True,False,True,True,85,True,approved
CLM-100071,GK-11503,Mumbai,Bandra,2026-02-25,Flooding,4.2,141.47,0.0,25,22.4,False,False,False,True,35,False,rejected
CLM-100072,GK-11726,Chennai,T. Nagar,2025-10-23,Civic Disruption,9.6,245.15,30.8,118,32.3,True,True,True,True,100,True,approved
CLM-100073,GK-10131,Mumbai,Bandra,2025-11-27,Severe AQI,5.0,454.18,0.0,374,33.4,True,True,True,True,100,True,approved
CLM-100074,GK-10035,Mumbai,Powai,2025-12-04,Severe AQI,6.9,361.75,0.0,102,21.9,False,True,True,True,63,True,review
CLM-100075,GK-10811,Delhi,Lajpat Nagar,2026-03-04,Extreme Heat,7.1,325.37,0.0,123,44.3,True,True,True,True,100,True,approved
CLM-100076,GK-10763,Mumbai,Thane,2025-12-05,Heavy Rainfall,7.2,269.93,0.0,132,26.4,False,False,False,True,38,False,rejected
CLM-100077,GK-11478,Mumbai,Powai,2026-03-17,Civic Disruption,4.3,229.44,0.0,114,41.9,True,True,True,True,77,True,review
CLM-100078,GK-10188,Delhi,Dwarka,2025-11-19,Severe AQI,6.7,284.47,0.0,473,44.0,True,True,True,True,100,True,approved
CLM-100079,GK-10976,Delhi,Lajpat Nagar,2025-11-30,Severe AQI,9.1,543.76,0.0,395,27.6,True,True,True,True,100,True,approved
CLM-100080,GK-11659,Chennai,Tambaram,2025-11-23,Heavy Rainfall,4.1,202.33,61.2,100,35.6,True,True,True,True,100,True,approved
CLM-100081,GK-10262,Delhi,Dwarka,2025-11-01,Severe AQI,6.3,340.79,0.0,372,23.8,True,True,True,False,93,True,approved
CLM-100082,GK-10528,Mumbai,Borivali,2025-11-03,Severe AQI,5.0,303.94,0.0,214,36.7,True,True,True,True,84,True,approved
CLM-100083,GK-10458,Chennai,Adyar,2025-12-30,Severe AQI,10.0,370.58,0.0,125,28.7,True,False,True,True,67,False,review
CLM-100084,GK-11744,Chennai,Sholinganallur,2025-11-13,Severe AQI,8.8,383.73,30.9,151,32.1,True,True,True,True,100,True,approved
CLM-100085,GK-10643,Chennai,Guindy,2026-02-27,Civic Disruption,5.2,300.03,1.1,23,27.6,False,False,False,False,28,False,rejected
CLM-100086,GK-10361,Chennai,Velachery,2025-11-19,Heavy Rainfall,3.4,243.1,31.1,90,37.6,True,True,True,True,100,True,approved
CLM-100087,GK-10607,Chennai,Tambaram,2025-11-29,Heavy Rainfall,6.1,375.56,52.8,208,37.1,False,True,True,True,83,True,approved
CLM-100088,GK-11128,Mumbai,Bandra,2025-11-02,Flooding,7.5,389.94,0.0,99,32.5,True,False,True,True,59,True,review
CLM-100089,GK-11003,Mumbai,Malad,2026-01-18,Severe AQI,7.9,308.84,0.0,55,34.0,False,False,False,False,19,False,rejected
CLM-100090,GK-10859,Delhi,Chandni Chowk,2025-11-23,Heavy Rainfall,6.2,216.66,61.0,141,35.2,False,False,False,False,54,False,review
CLM-100091,GK-10193,Chennai,T. Nagar,2025-10-23,Heavy Rainfall,6.9,136.17,30.8,118,32.3,True,True,True,True,100,True,approved
CLM-100092,GK-10128,Mumbai,Andheri,2026-01-10,Severe AQI,8.8,441.38,0.0,425,19.5,True,True,True,True,100,True,approved
CLM-100093,GK-10251,Chennai,Chromepet,2025-12-02,Civic Disruption,8.7,480.33,0.9,117,25.1,False,False,False,False,30,False,rejected
CLM-100094,GK-11485,Mumbai,Navi Mumbai,2026-03-19,Flooding,6.0,291.04,0.0,59,30.1,True,True,True,True,76,True,review
CLM-100095,GK-10863,Mumbai,Malad,2026-02-22,Flooding,9.4,489.6,0.0,125,26.3,True,False,True,True,68,True,review
CLM-100096,GK-11057,Chennai,T. Nagar,2025-10-09,Heavy Rainfall,3.3,198.36,71.0,48,32.7,True,True,True,True,100,True,approved
CLM-100097,GK-11443,Mumbai,Bandra,2025-12-15,Extreme Heat,5.3,166.08,0.0,70,31.2,False,True,False,True,52,False,review
CLM-100098,GK-10444,Delhi,Karol Bagh,2025-12-30,Severe AQI,3.9,140.92,0.0,468,27.5,True,True,True,True,100,True,approved
CLM-100099,GK-11222,Delhi,Nehru Place,2026-03-11,Flooding,6.0,596.25,0.0,76,36.7,True,False,False,False,48,False,rejected
CLM-100100,GK-11897,Mumbai,Thane,2026-03-04,Civic Disruption,5.8,303.12,0.0,133,31.2,True,True,True,True,78,True,review
CLM-100101,GK-10740,Delhi,Pitampura,2025-10-01,Flooding,10.0,333.86,0.0,49,23.8,False,False,False,True,39,False,rejected
CLM-100102,GK-11864,Chennai,Guindy,2025-11-10,Flooding,9.8,287.45,35.4,151,28.9,True,True,True,True,100,True,approved
CLM-100103,GK-11684,Chennai,T. Nagar,2025-11-27,Heavy Rainfall,5.4,353.36,61.7,106,35.6,True,False,True,True,82,True,approved
CLM-100104,GK-11284,Mumbai,Thane,2026-02-11,Extreme Heat,7.8,355.32,0.0,33,24.4,True,True,True,True,77,True,review
CLM-100105,GK-10293,Delhi,Chandni Chowk,2025-12-02,Heavy Rainfall,7.8,608.69,0.0,141,29.7,False,True,False,False,39,False,rejected
CLM-100106,GK-11217,Mumbai,Thane,2025-11-19,Civic Disruption,7.4,357.73,31.1,90,37.6,True,True,True,True,100,True,approved
CLM-100107,GK-10215,Delhi,Chandni Chowk,2025-12-09,Extreme Heat,3.6,191.35,0.0,309,18.1,True,True,True,True,100,True,approved
CLM-100108,GK-10140,Delhi,Karol Bagh,2025-11-05,Severe AQI,6.4,262.91,0.0,423,43.5,True,True,True,True,100,True,approved
CLM-100109,GK-10043,Mumbai,Dadar,2026-01-25,Heavy Rainfall,8.5,507.33,0.0,344,15.7,False,True,True,True,81,True,approved
CLM-100110,GK-11979,Delhi,Dwarka,2025-12-10,Extreme Heat,8.7,350.02,0.0,338,34.5,True,True,True,True,100,True,approved
CLM-100111,GK-11200,Mumbai,Borivali,2025-12-18,Severe AQI,5.8,416.9,0.0,394,37.0,True,True,True,True,100,True,approved
CLM-100112,GK-11690,Delhi,Chandni Chowk,2025-12-01,Severe AQI,9.8,584.07,0.0,365,36.1,True,True,False,True,91,True,approved
CLM-100113,GK-11936,Mumbai,Dadar,2025-12-08,Flooding,4.9,311.81,0.0,124,22.1,False,False,False,True,25,False,rejected
CLM-100114,GK-11608,Delhi,Lajpat Nagar,2026-03-28,Extreme Heat,4.0,155.7,0.0,149,44.8,True,False,False,True,76,True,review
CLM-100115,GK-11294,Mumbai,Powai,2025-12-09,Extreme Heat,7.2,256.17,0.0,348,29.6,True,True,True,True,100,True,approved
CLM-100116,GK-11120,Delhi,Karol Bagh,2025-11-14,Severe AQI,7.0,285.33,0.0,373,28.7,True,True,True,False,93,True,approved
CLM-100117,GK-11176,Chennai,Tambaram,2025-10-08,Heavy Rainfall,6.9,246.94,34.6,165,36.7,True,True,True,True,100,True,approved
CLM-100118,GK-11927,Delhi,Rohini,2025-12-16,Severe AQI,7.8,346.0,0.0,465,23.9,True,True,False,True,87,True,approved
CLM-100119,GK-10950,Delhi,Saket,2025-12-16,Flooding,8.9,571.4,0.0,309,39.7,False,True,True,False,74,True,review
CLM-100120,GK-11353,Delhi,Nehru Place,2025-12-24,Extreme Heat,7.5,357.25,0.0,346,21.0,True,True,True,True,100,True,approved
CLM-100121,GK-10639,Mumbai,Dadar,2025-12-23,Severe AQI,7.3,324.23,8.6,118,32.9,True,True,True,True,76,True,review
CLM-100122,GK-11463,Chennai,Sholinganallur,2026-03-11,Extreme Heat,3.8,196.02,0.0,152,36.4,False,True,False,False,36,False,rejected
CLM-100123,GK-11365,Chennai,Velachery,2025-11-20,Civic Disruption,3.6,148.63,35.2,100,37.1,True,False,True,True,86,True,approved
CLM-100124,GK-11599,Mumbai,Dadar,2026-01-20,Civic Disruption,6.0,457.15,0.0,128,29.3,True,False,False,False,39,False,rejected
CLM-100125,GK-10175,Mumbai,Borivali,2026-03-11,Extreme Heat,5.3,299.79,0.0,130,30.0,True,True,True,True,75,True,review
CLM-100126,GK-10679,Chennai,Sholinganallur,2025-10-03,Heavy Rainfall,6.0,308.91,80.9,143,33.3,True,True,True,True,100,True,approved
CLM-100127,GK-11027,Delhi,Karol Bagh,2025-10-01,Extreme Heat,5.9,380.65,0.0,190,45.5,True,True,True,True,100,True,approved
CLM-100128,GK-10793,Delhi,Saket,2025-12-07,Severe AQI,7.7,661.72,0.0,369,34.1,True,True,True,True,100,True,approved
CLM-100129,GK-11538,Delhi,Dwarka,2025-12-11,Severe AQI,7.9,220.86,0.0,360,31.7,True,True,False,True,90,True,approved
CLM-100130,GK-10775,Mumbai,Bandra,2026-01-11,Flooding,5.1,226.68,0.0,291,20.1,True,True,True,True,78,True,review
CLM-100131,GK-10499,Mumbai,Goregaon,2026-02-11,Severe AQI,7.0,551.08,0.0,68,28.8,True,True,True,True,83,True,approved
CLM-100132,GK-10399,Chennai,Sholinganallur,2025-11-06,Severe AQI,8.3,546.87,39.0,70,28.6,True,True,True,True,100,True,approved
CLM-100133,GK-11492,Delhi,Janakpuri,2025-12-03,Severe AQI,9.2,386.28,0.0,354,18.7,True,True,True,True,100,True,approved
CLM-100134,GK-11716,Chennai,Adyar,2025-12-09,Heavy Rainfall,4.8,207.43,68.6,214,31.1,True,True,True,True,100,True,approved
CLM-100135,GK-10073,Delhi,Connaught Place,2026-03-02,Extreme Heat,6.8,459.07,0.0,155,43.6,True,True,True,True,100,True,approved
CLM-100136,GK-10477,Mumbai,Borivali,2026-02-15,Severe AQI,5.5,411.28,0.0,205,27.1,True,True,True,True,78,True,review
CLM-100137,GK-10753,Delhi,Connaught Place,2026-01-20,Severe AQI,7.9,718.21,0.0,377,33.1,True,True,True,True,100,True,approved
CLM-100138,GK-10460,Delhi,Rohini,2025-11-21,Flooding,8.2,505.71,0.0,331,33.0,True,True,True,True,100,True,approved
CLM-100139,GK-10945,Mumbai,Goregaon,2026-03-26,Extreme Heat,8.3,438.95,0.0,115,26.7,True,True,True,True,82,True,approved
CLM-100140,GK-10698,Chennai,Mylapore,2025-11-28,Severe AQI,8.7,675.71,37.0,81,29.3,True,True,True,True,100,True,approved
CLM-100141,GK-11681,Chennai,Tambaram,2025-12-03,Heavy Rainfall,6.2,270.72,42.7,71,21.9,True,True,True,True,100,True,approved
CLM-100142,GK-10036,Mumbai,Malad,2025-11-17,Heavy Rainfall,5.0,258.33,0.0,273,42.5,True,True,True,True,79,True,review
CLM-100143,GK-10255,Chennai,Guindy,2025-11-16,Flooding,4.0,228.65,91.3,165,30.0,True,True,True,True,100,True,approved
CLM-100144,GK-11183,Delhi,Pitampura,2025-12-01,Extreme Heat,6.4,426.2,0.0,329,19.0,True,True,True,True,100,True,approved
CLM-100145,GK-11675,Delhi,Saket,2025-11-03,Severe AQI,5.9,360.11,0.0,500,28.8,False,True,True,True,80,True,approved
CLM-100146,GK-10698,Chennai,Mylapore,2025-12-07,Flooding,7.9,613.57,56.0,200,26.6,True,True,False,True,87,True,approved
CLM-100147,GK-10309,Delhi,Lajpat Nagar,2026-01-20,Extreme Heat,8.9,486.03,0.0,307,27.7,True,True,True,True,100,True,approved
CLM-100148,GK-10078,Delhi,Connaught Place,2026-01-02,Flooding,3.7,130.14,0.0,329,39.0,True,True,True,True,100,True,approved
CLM-100149,GK-10101,Delhi,Janakpuri,2025-12-04,Severe AQI,9.3,374.2,0.0,362,19.3,True,True,True,True,100,True,approved
CLM-100150,GK-11851,Chennai,Adyar,2025-12-09,Heavy Rainfall,6.3,462.39,68.6,214,31.1,True,True,True,True,100,True,approved
CLM-100151,GK-11309,Delhi,Karol Bagh,2026-03-06,Extreme Heat,8.4,377.57,0.0,98,43.7,True,True,True,True,100,True,approved
CLM-100152,GK-10185,Delhi,Karol Bagh,2025-12-21,Severe AQI,4.7,493.37,0.0,391,28.4,True,True,True,True,100,True,approved
CLM-100153,GK-10059,Mumbai,Borivali,2025-10-30,Extreme Heat,7.3,550.22,0.0,39,35.7,True,True,True,True,84,True,approved
CLM-100154,GK-10685,Delhi,Pitampura,2026-03-16,Extreme Heat,8.4,399.75,0.0,145,44.3,True,True,True,True,100,True,approved
CLM-100155,GK-11133,Chennai,Chromepet,2025-10-29,Extreme Heat,6.4,539.01,30.7,78,37.4,True,True,True,True,100,True,approved
CLM-100156,GK-10047,Chennai,Porur,2025-12-16,Heavy Rainfall,6.9,408.98,68.3,148,28.7,True,True,True,True,100,True,approved
CLM-100157,GK-10493,Mumbai,Bandra,2025-10-19,Severe AQI,3.1,174.3,12.6,156,33.1,False,False,False,True,42,False,rejected
CLM-100158,GK-10308,Mumbai,Goregaon,2025-11-07,Severe AQI,6.4,413.85,0.0,388,29.3,True,True,True,True,100,True,approved
CLM-100159,GK-10645,Chennai,Velachery,2025-12-29,Flooding,7.0,209.97,70.7,81,31.2,True,True,True,True,100,True,approved
CLM-100160,GK-10742,Chennai,Guindy,2025-12-18,Severe AQI,9.4,361.19,38.3,105,31.1,True,True,True,True,100,True,approved
CLM-100161,GK-10088,Delhi,Rohini,2026-03-18,Extreme Heat,4.3,247.16,0.0,88,44.8,True,True,True,True,100,True,approved
CLM-100162,GK-10417,Delhi,Lajpat Nagar,2025-11-19,Severe AQI,9.0,288.57,0.0,380,32.1,True,True,False,True,87,True,approved
CLM-100163,GK-11993,Delhi,Saket,2025-12-05,Extreme Heat,5.3,95.23,0.0,301,34.4,True,True,True,True,100,True,approved
CLM-100164,GK-10945,Mumbai,Goregaon,2025-10-27,Heavy Rainfall,8.4,444.24,63.9,138,28.1,True,True,True,True,100,True,approved
CLM-100165,GK-10673,Mumbai,Bandra,2026-03-23,Civic Disruption,9.9,222.21,0.0,182,24.6,True,True,True,True,75,True,review
CLM-100166,GK-11504,Chennai,Anna Nagar,2025-11-18,Severe AQI,6.0,336.05,37.5,79,32.1,True,True,True,True,100,True,approved
CLM-100167,GK-10915,Delhi,Connaught Place,2025-12-26,Severe AQI,7.9,581.46,0.0,393,22.6,True,True,True,True,100,True,approved
CLM-100168,GK-10478,Delhi,Janakpuri,2025-11-03,Severe AQI,5.2,394.37,0.0,460,37.3,True,True,True,True,100,True,approved
CLM-100169,GK-11278,Mumbai,Bandra,2025-10-13,Severe AQI,5.4,273.65,0.3,69,28.4,True,True,True,True,85,True,approved
CLM-100170,GK-11712,Delhi,Rohini,2025-12-27,Severe AQI,4.9,136.28,0.2,410,18.3,True,True,True,True,100,True,approved
CLM-100171,GK-11024,Delhi,Karol Bagh,2025-11-30,Severe AQI,4.9,474.16,0.0,352,29.1,True,True,True,True,100,True,approved
CLM-100172,GK-10545,Chennai,Chromepet,2025-11-06,Civic Disruption,6.0,420.25,33.8,155,34.4,True,False,True,True,84,True,approved
CLM-100173,GK-11893,Mumbai,Bandra,2025-11-19,Severe AQI,5.3,470.19,0.0,473,44.0,True,False,False,False,66,False,review
CLM-100174,GK-11451,Mumbai,Navi Mumbai,2026-02-03,Flooding,7.3,333.62,0.0,175,26.0,True,True,True,True,75,True,review
CLM-100175,GK-10485,Chennai,Anna Nagar,2025-11-07,Flooding,8.3,356.42,45.3,138,36.8,True,True,True,True,100,True,approved
CLM-100176,GK-10808,Mumbai,Kurla,2026-02-16,Severe AQI,8.3,244.32,0.0,150,26.1,True,True,True,True,76,True,review
CLM-100177,GK-10197,Delhi,Janakpuri,2025-11-16,Severe AQI,3.7,194.69,0.0,419,35.2,True,True,True,True,100,True,approved
CLM-100178,GK-10501,Mumbai,Navi Mumbai,2025-11-21,Severe AQI,3.8,219.3,0.0,66,30.7,True,True,True,True,83,True,approved
CLM-100179,GK-11891,Chennai,T. Nagar,2025-10-16,Civic Disruption,5.0,214.62,2.1,74,23.4,False,True,False,True,50,False,review
CLM-100180,GK-11945,Chennai,Porur,2025-10-31,Civic Disruption,6.4,272.97,30.6,89,36.1,True,True,True,True,100,True,approved
CLM-100181,GK-11816,Delhi,Connaught Place,2025-12-27,Severe AQI,4.9,151.03,0.0,500,31.7,True,True,True,True,100,True,approved
CLM-100182,GK-10576,Delhi,Rohini,2026-01-03,Severe AQI,9.7,407.97,0.0,380,23.5,True,True,True,True,100,True,approved
CLM-100183,GK-10748,Delhi,Dwarka,2026-01-30,Severe AQI,3.1,183.89,0.0,366,39.3,True,True,True,True,100,True,approved
CLM-100184,GK-10982,Chennai,T. Nagar,2025-12-04,Heavy Rainfall,8.3,454.82,38.3,153,22.9,True,True,True,True,100,True,approved
CLM-100185,GK-10671,Mumbai,Kurla,2026-03-11,Severe AQI,3.6,145.19,0.0,84,40.1,True,True,True,True,78,True,review
CLM-100186,GK-11919,Mumbai,Powai,2026-01-12,Heavy Rainfall,5.1,206.98,0.0,71,29.0,True,True,True,True,85,True,approved
CLM-100187,GK-11657,Delhi,Pitampura,2026-01-26,Civic Disruption,5.2,199.92,0.0,301,18.2,True,True,True,True,100,True,approved
CLM-100188,GK-11001,Mumbai,Navi Mumbai,2025-11-09,Civic Disruption,3.3,235.58,0.0,153,35.8,True,True,True,True,77,True,review
CLM-100189,GK-10027,Mumbai,Kurla,2026-02-19,Civic Disruption,7.0,593.78,0.0,109,33.5,True,True,True,True,77,True,review
CLM-100190,GK-10337,Mumbai,Malad,2026-01-14,Extreme Heat,7.1,415.81,0.0,125,32.0,True,True,True,True,83,True,approved
