worker_id,city,zone,date,day_of_week,hours_worked,orders_completed,rainfall_mm,aqi,temperature_c,humidity_pct,earnings,target_earnings
GK-10655,Mumbai,Thane,2026-02-22,6,13.9,25,0.0,89,26.0,64.0,1879.42,1879.42
GK-10001,Chennai,T. Nagar,2026-01-28,2,11.7,34,0.0,54,26.7,31.7,1338.99,1338.99
GK-10613,Delhi,Rohini,2025-10-12,6,10.8,21,0.0,136,42.8,42.4,930.64,930.64
GK-10841,Chennai,Adyar,2026-03-10,1,11.5,32,0.0,77,32.7,56.0,590.66,590.66
GK-11642,Mumbai,Andheri,2025-12-08,0,7.8,15,0.0,63,23.6,58.3,894.63,894.63
GK-11613,Chennai,Anna Nagar,2026-03-03,1,10.3,23,0.0,129,29.2,41.7,1188.67,1188.67
GK-10760,Chennai,Velachery,2026-03-08,6,5.4,14,7.5,87,32.4,32.0,672.04,672.04
GK-11659,Chennai,Tambaram,2025-10-04,5,9.7,26,4.2,103,34.5,68.5,1595.7,1595.7
GK-11173,Mumbai,Malad,2026-01-30,4,7.5,22,0.0,76,28.5,48.2,540.67,540.67
GK-11974,Chennai,T. Nagar,2026-02-28,5,8.9,17,0.0,53,28.8,49.5,1240.46,1240.46
GK-10440,Delhi,Janakpuri,2025-10-03,4,5.5,8,0.0,130,45.8,37.1,390.12,390.12
GK-11347,Chennai,Guindy,2026-01-12,0,14.0,35,0.0,118,31.8,50.9,1497.44,1497.44
GK-10749,Mumbai,Borivali,2026-02-26,3,14.0,25,0.0,169,23.1,42.5,1786.36,1786.36
GK-10313,Mumbai,Thane,2025-11-08,5,9.7,26,0.0,181,33.0,34.4,1650.0,1650.0
GK-10543,Mumbai,Andheri,2026-01-10,5,12.2,35,0.0,161,27.6,33.5,1871.45,1871.45
GK-11584,Mumbai,Thane,2025-10-16,3,12.6,36,0.0,210,34.3,63.5,1444.83,1444.83
GK-11970,Chennai,Mylapore,2026-03-01,6,9.1,16,0.0,168,28.2,61.1,1416.37,1416.37
GK-10135,Mumbai,Borivali,2025-10-10,4,14.0,26,0.0,114,27.2,35.5,1988.15,1988.15
GK-11616,Delhi,Dwarka,2025-11-09,6,9.9,20,0.0,393,29.1,35.5,1065.23,1065.23
GK-11542,Mumbai,Bandra,2026-01-16,4,8.9,21,0.0,96,29.5,32.5,1134.84,1134.84
GK-10921,Mumbai,Dadar,2026-02-22,6,10.1,28,0.0,150,21.9,54.8,1590.41,1590.41
GK-10548,Chennai,Porur,2026-01-19,0,6.1,15,0.0,73,26.1,55.7,869.15,869.15
GK-10594,Mumbai,Malad,2026-02-09,0,8.3,24,0.0,116,19.3,37.0,877.88,877.88
GK-10702,Mumbai,Kurla,2025-10-07,1,5.1,10,0.0,128,26.8,58.2,666.74,666.74
GK-11453,Delhi,Lajpat Nagar,2025-11-20,3,8.7,20,0.0,309,34.3,57.8,1024.1,1024.1
GK-11413,Chennai,Chromepet,2025-11-17,0,9.5,25,11.2,112,32.5,84.8,1614.28,1614.28
GK-11460,Chennai,Anna Nagar,2026-01-17,5,14.0,29,0.0,175,23.6,65.8,2703.6,2703.6
GK-11319,Delhi,Chandni Chowk,2025-11-29,5,6.2,12,0.0,265,23.4,58.2,1401.04,1401.04
GK-11418,Chennai,Adyar,2025-12-02,1,7.5,11,42.7,86,28.1,93.1,607.59,607.59
GK-10340,Chennai,Anna Nagar,2025-12-01,0,12.6,19,0.0,71,28.1,91.6,1144.34,1144.34
GK-10556,Delhi,Dwarka,2025-10-17,4,8.8,26,0.0,50,34.1,57.6,675.76,675.76
GK-10000,Mumbai,Bandra,2026-02-15,6,9.5,26,0.0,200,28.1,46.5,957.46,957.46
GK-10785,Delhi,Connaught Place,2025-12-14,6,9.7,26,0.0,313,21.8,62.1,1239.04,1239.04
GK-11678,Chennai,T. Nagar,2026-03-01,6,9.7,27,0.0,105,36.0,60.5,1660.09,1660.09
GK-11558,Delhi,Connaught Place,2025-11-10,0,10.8,22,0.0,442,24.7,50.6,1389.35,1389.35
GK-11238,Delhi,Chandni Chowk,2026-03-23,0,10.7,19,0.0,134,38.8,33.5,1470.39,1470.39
GK-10468,Chennai,Anna Nagar,2026-01-12,0,8.2,16,0.0,264,33.0,51.0,674.24,674.24
GK-10876,Chennai,Tambaram,2025-12-10,2,4.7,9,0.0,26,23.9,57.2,366.15,366.15
GK-10520,Chennai,Anna Nagar,2026-01-20,1,8.7,15,2.3,20,27.0,54.5,1513.4,1513.4
GK-10486,Mumbai,Malad,2026-02-09,0,7.7,19,0.0,116,19.3,37.0,600.44,600.44
GK-10369,Chennai,Sholinganallur,2025-10-14,1,7.9,23,3.7,157,31.6,54.1,919.09,919.09
GK-10924,Delhi,Janakpuri,2026-03-15,6,5.6,9,0.0,153,45.5,52.2,893.89,893.89
GK-10880,Delhi,Karol Bagh,2026-03-10,1,11.1,21,0.0,147,41.3,33.1,1386.05,1386.05
GK-10028,Delhi,Rohini,2025-12-31,2,9.0,26,0.0,427,25.3,36.4,985.66,985.66
GK-10986,Mumbai,Navi Mumbai,2025-10-28,1,7.6,19,0.0,159,34.6,60.1,712.86,712.86
GK-10799,Mumbai,Borivali,2025-11-16,6,10.3,28,0.0,203,36.9,31.6,1065.48,1065.48
GK-11500,Mumbai,Borivali,2025-10-20,0,8.9,21,0.0,50,29.0,60.1,688.22,688.22
GK-10002,Mumbai,Bandra,2026-03-08,6,8.0,18,0.0,88,36.9,57.9,897.14,897.14
GK-10095,Delhi,Lajpat Nagar,2025-11-02,6,8.8,22,0.0,288,24.5,38.9,1476.78,1476.78
GK-11700,Chennai,Velachery,2026-03-22,6,7.5,17,0.0,126,34.7,41.9,1597.85,1597.85
GK-11269,Chennai,Chromepet,2025-12-16,1,13.5,31,22.9,129,30.9,75.3,1056.65,1056.65
GK-10354,Delhi,Dwarka,2025-12-22,0,13.9,38,0.0,362,16.2,65.3,1556.5,1556.5
GK-11946,Mumbai,Andheri,2026-02-13,4,10.5,31,2.8,199,21.0,68.4,1708.84,1708.84
GK-10524,Mumbai,Powai,2026-03-09,0,5.6,8,0.0,106,31.1,44.6,638.21,638.21
GK-11358,Mumbai,Navi Mumbai,2025-10-09,3,9.0,22,0.0,70,32.8,47.2,808.29,808.29
GK-11640,Chennai,Sholinganallur,2026-03-26,3,12.1,33,3.5,133,35.4,66.5,1229.15,1229.15
GK-11031,Mumbai,Navi Mumbai,2026-03-17,1,8.3,14,0.0,83,34.9,39.3,1212.42,1212.42
GK-10075,Delhi,Janakpuri,2026-01-03,5,12.0,24,0.0,500,36.8,65.1,1669.66,1669.66
GK-10863,Mumbai,Malad,2025-11-28,4,9.7,20,0.0,106,34.3,68.6,1399.46,1399.46
GK-11427,Chennai,Chromepet,2025-12-17,2,14.0,24,1.3,44,34.8,53.5,1604.58,1604.58
GK-10324,Chennai,Chromepet,2026-02-06,4,9.3,18,2.6,20,24.3,43.0,806.67,806.67
GK-10095,Delhi,Lajpat Nagar,2026-01-19,0,5.3,10,0.0,288,32.0,35.0,649.29,649.29
GK-10386,Delhi,Rohini,2026-03-20,4,7.6,16,0.0,85,34.7,58.7,527.43,527.43
GK-11276,Delhi,Rohini,2025-12-31,2,12.5,34,0.0,427,25.3,36.4,1165.65,1165.65
GK-11061,Delhi,Nehru Place,2026-02-06,4,11.5,32,0.0,66,27.2,53.5,1709.53,1709.53
GK-11811,Chennai,T. Nagar,2026-01-30,4,13.5,24,0.9,20,30.2,55.7,1412.48,1412.48
GK-10861,Mumbai,Andheri,2026-02-25,2,8.3,15,0.0,139,27.3,40.7,619.37,619.37
GK-10195,Mumbai,Dadar,2026-02-14,5,13.2,38,0.0,69,24.6,37.3,2351.54,2351.54
GK-10649,Chennai,Porur,2026-01-10,5,7.9,17,0.0,179,34.4,53.6,1289.28,1289.28
GK-11375,Chennai,Velachery,2025-10-29,2,14.0,29,0.0,112,28.4,56.5,1144.32,1144.32
GK-11025,Chennai,Sholinganallur,2026-03-03,1,6.4,15,0.0,75,32.9,39.9,698.73,698.73
GK-10489,Mumbai,Malad,2026-03-16,0,13.3,34,6.8,22,28.1,44.3,2156.89,2156.89
GK-11136,Chennai,Tambaram,2025-10-23,3,11.6,31,0.0,129,28.0,80.3,1385.87,1385.87
GK-10844,Delhi,Chandni Chowk,2026-01-31,5,9.4,19,0.0,410,18.2,52.3,1444.16,1444.16
GK-10900,Mumbai,Dadar,2025-11-17,0,14.0,34,0.0,97,27.8,40.6,1431.04,1431.04
GK-11632,Chennai,Anna Nagar,2025-11-19,2,7.4,18,0.0,160,36.4,57.6,826.76,826.76
GK-11348,Chennai,Tambaram,2026-01-10,5,13.0,34,0.0,99,26.5,39.3,1836.46,1836.46
GK-10553,Chennai,Velachery,2026-02-19,3,10.5,22,0.0,228,25.1,33.9,949.76,949.76
GK-10324,Chennai,Chromepet,2025-11-18,1,10.0,17,1.5,131,35.9,92.6,910.2,910.2
GK-11954,Delhi,Karol Bagh,2026-01-13,1,12.3,19,0.0,289,27.5,69.2,1189.5,1189.5
GK-10511,Chennai,Mylapore,2026-02-26,3,10.2,27,0.0,116,30.5,53.8,1523.8,1523.8
GK-11328,Delhi,Saket,2025-10-16,3,13.9,27,0.0,116,35.8,36.9,2043.25,2043.25
GK-11053,Delhi,Karol Bagh,2025-10-08,2,11.7,19,0.0,63,30.5,51.8,1490.63,1490.63
GK-10199,Mumbai,Kurla,2025-10-02,3,6.9,20,0.0,148,34.8,39.4,841.46,841.46
GK-11536,Chennai,Sholinganallur,2025-11-07,4,3.4,7,29.0,89,28.4,75.8,258.17,258.17
GK-11537,Delhi,Janakpuri,2026-02-28,5,5.8,14,0.0,84,33.5,48.7,680.52,680.52
GK-11696,Delhi,Nehru Place,2026-02-04,2,14.0,24,0.0,140,26.1,56.8,1321.7,1321.7
GK-10808,Mumbai,Kurla,2025-11-08,5,11.8,25,0.0,88,26.3,49.5,1142.2,1142.2
GK-11254,Delhi,Rohini,2026-01-02,4,4.9,9,0.0,456,25.5,46.9,362.1,362.1
GK-11364,Chennai,Chromepet,2026-01-18,6,7.2,10,2.6,214,25.6,39.2,1360.66,1360.66
GK-11220,Chennai,Sholinganallur,2026-01-22,3,8.6,18,0.0,120,28.1,55.0,929.11,929.11
GK-10478,Delhi,Janakpuri,2026-02-07,5,7.7,13,0.0,40,26.7,44.8,1272.75,1272.75
GK-10385,Delhi,Dwarka,2026-03-02,0,11.2,28,17.3,79,29.7,69.5,1168.86,1168.86
GK-10965,Mumbai,Borivali,2025-12-14,6,8.2,24,0.0,153,28.3,36.8,1004.05,1004.05
GK-10048,Chennai,Mylapore,2026-03-18,2,10.9,30,0.0,226,33.8,36.3,1949.83,1949.83
GK-11671,Mumbai,Bandra,2026-02-14,5,7.8,17,0.0,63,24.2,35.4,1030.16,1030.16
GK-11455,Mumbai,Thane,2026-02-12,3,11.5,23,0.0,87,30.5,64.0,1200.1,1200.1
GK-10528,Mumbai,Borivali,2025-11-17,0,7.9,14,0.0,229,31.2,69.4,862.65,862.65
GK-11450,Delhi,Saket,2025-11-10,0,10.5,26,0.0,163,30.2,58.0,1074.05,1074.05
GK-10245,Delhi,Dwarka,2026-03-14,5,5.6,13,0.0,134,22.0,39.5,846.82,846.82
GK-10494,Chennai,Mylapore,2025-12-12,4,7.6,19,0.0,90,30.9,76.4,1115.79,1115.79
GK-10514,Delhi,Saket,2026-03-02,0,10.8,30,0.0,126,44.9,34.4,808.37,808.37
GK-11787,Delhi,Dwarka,2026-02-18,2,7.4,17,0.0,71,25.4,50.2,783.96,783.96
GK-10137,Mumbai,Navi Mumbai,2026-03-08,6,3.9,7,0.0,141,35.0,32.6,571.23,571.23
GK-10767,Mumbai,Goregaon,2025-11-26,2,6.7,16,0.0,87,27.8,57.2,529.3,529.3
GK-11205,Mumbai,Kurla,2025-12-03,2,8.8,25,7.0,116,24.8,53.4,1119.92,1119.92
GK-10643,Chennai,Guindy,2025-11-25,1,10.3,28,0.0,118,35.6,59.9,1209.35,1209.35
GK-10836,Chennai,T. Nagar,2025-11-26,2,12.0,19,0.0,130,33.2,57.6,1157.78,1157.78
GK-11500,Mumbai,Borivali,2025-12-19,4,8.3,16,0.0,64,29.7,30.6,663.31,663.31
GK-10402,Chennai,Chromepet,2025-11-23,6,8.0,18,0.0,98,33.9,61.6,1523.8,1523.8
GK-11732,Delhi,Nehru Place,2026-02-21,5,6.4,17,0.0,69,30.0,60.2,852.14,852.14
GK-11930,Mumbai,Borivali,2026-02-19,3,11.2,33,0.0,187,22.4,55.2,1897.21,1897.21
GK-10925,Delhi,Nehru Place,2025-11-14,4,10.3,28,6.0,319,38.1,59.9,741.57,741.57
GK-11646,Delhi,Janakpuri,2026-02-08,6,12.7,29,0.0,172,35.0,55.9,1975.79,1975.79
GK-11146,Mumbai,Powai,2025-10-29,2,11.0,29,0.0,101,35.3,42.4,801.02,801.02
GK-11820,Chennai,Mylapore,2026-03-06,4,11.2,21,0.0,169,33.1,45.2,1684.89,1684.89
GK-11425,Delhi,Karol Bagh,2026-01-30,4,10.6,17,0.0,435,37.2,49.9,1280.89,1280.89
GK-11836,Delhi,Saket,2026-02-27,4,11.6,34,0.0,134,34.3,54.2,1402.27,1402.27
GK-10488,Mumbai,Dadar,2025-12-13,5,12.4,21,0.0,146,21.1,49.8,2266.81,2266.81
GK-10760,Chennai,Velachery,2026-02-18,2,8.7,22,0.0,250,32.7,51.6,947.18,947.18
GK-10653,Mumbai,Navi Mumbai,2025-10-09,3,9.4,22,0.0,70,32.8,47.2,1433.76,1433.76
GK-11935,Chennai,Porur,2026-01-09,4,8.4,17,0.0,121,21.1,49.6,678.2,678.2
GK-10837,Mumbai,Dadar,2026-03-17,1,9.1,16,0.0,74,34.0,38.4,1340.15,1340.15
GK-10181,Chennai,Chromepet,2025-10-22,2,11.6,19,0.0,174,28.7,76.8,1010.24,1010.24
GK-11963,Chennai,Adyar,2025-12-11,3,5.5,10,56.1,127,25.0,69.3,542.19,542.19
GK-11196,Chennai,Porur,2026-01-11,6,7.8,15,0.0,78,30.4,44.9,941.05,941.05
GK-10476,Chennai,Chromepet,2026-02-03,1,4.9,12,0.1,147,28.6,44.4,584.97,584.97
GK-10068,Mumbai,Thane,2026-01-10,5,6.1,14,0.0,158,25.6,54.8,451.86,451.86
GK-10351,Mumbai,Navi Mumbai,2025-11-23,6,12.3,35,0.0,168,28.1,32.4,1967.66,1967.66
GK-10581,Mumbai,Malad,2026-01-07,2,5.1,9,0.0,139,29.0,31.8,399.67,399.67
GK-10040,Mumbai,Borivali,2025-10-27,0,7.4,21,0.0,100,29.2,36.9,802.75,802.75
GK-10121,Delhi,Chandni Chowk,2026-01-11,6,12.9,24,0.0,421,35.4,58.4,1810.01,1810.01
GK-11434,Mumbai,Dadar,2025-11-18,1,8.4,23,0.0,147,29.2,61.4,714.54,714.54
GK-11051,Delhi,Nehru Place,2026-02-21,5,11.6,32,0.0,69,30.0,60.2,1550.31,1550.31
GK-11179,Delhi,Dwarka,2025-12-03,2,9.9,15,0.0,280,24.9,33.7,1214.7,1214.7
GK-10002,Mumbai,Bandra,2025-10-03,4,8.9,14,0.0,26,35.9,61.0,853.8,853.8
GK-11243,Chennai,Porur,2026-02-05,3,8.6,12,0.0,141,27.0,57.4,1015.31,1015.31
GK-10880,Delhi,Karol Bagh,2025-10-28,1,10.9,31,0.0,182,43.5,59.3,1045.85,1045.85
GK-11990,Mumbai,Dadar,2026-01-04,6,12.0,27,0.0,37,28.1,61.2,1132.96,1132.96
GK-11896,Mumbai,Kurla,2025-10-26,6,9.8,19,0.0,138,34.8,62.6,1607.11,1607.11
GK-10558,Chennai,Velachery,2026-02-09,0,11.8,28,0.0,100,32.6,56.9,1420.67,1420.67
GK-11751,Chennai,Chromepet,2026-03-28,5,7.0,14,0.0,94,36.2,39.3,1149.75,1149.75
GK-11843,Delhi,Chandni Chowk,2026-02-17,1,11.9,27,0.0,141,18.9,63.3,1428.46,1428.46
GK-10802,Delhi,Lajpat Nagar,2025-11-16,6,14.0,26,0.0,496,35.5,49.4,1704.02,1704.02
GK-10214,Chennai,Adyar,2026-03-02,0,8.4,20,0.0,178,36.1,39.9,1222.94,1222.94
GK-10989,Chennai,Anna Nagar,2025-10-24,4,6.8,16,26.3,54,28.0,83.8,868.79,868.79
GK-10938,Mumbai,Bandra,2026-02-26,3,10.1,15,0.0,92,25.7,32.3,1220.89,1220.89
GK-11085,Delhi,Karol Bagh,2026-01-17,5,6.1,12,0.0,421,39.4,30.3,527.08,527.08
GK-10821,Chennai,Sholinganallur,2025-12-08,0,10.9,23,13.4,166,23.6,80.2,941.14,941.14
GK-11820,Chennai,Mylapore,2025-12-28,6,9.1,24,5.1,153,28.2,78.9,1480.17,1480.17
GK-11525,Delhi,Connaught Place,2026-02-17,1,11.6,25,0.0,219,37.5,31.6,1442.57,1442.57
GK-10844,Delhi,Chandni Chowk,2025-11-05,2,9.6,18,0.0,345,43.3,55.9,971.76,971.76
GK-11768,Chennai,Anna Nagar,2025-10-08,2,5.5,16,22.9,139,33.8,65.2,447.37,447.37
GK-10199,Mumbai,Kurla,2025-10-19,6,7.7,15,0.0,153,31.0,46.5,1121.83,1121.83
GK-10638,Delhi,Lajpat Nagar,2026-02-09,0,10.6,23,7.3,96,18.3,54.0,1480.05,1480.05
GK-10053,Chennai,Porur,2026-01-18,6,6.2,12,0.0,55,34.0,30.5,1139.19,1139.19
GK-10263,Chennai,T. Nagar,2025-12-17,2,11.6,18,0.0,97,25.4,93.4,1640.29,1640.29
GK-11601,Mumbai,Kurla,2025-10-14,1,7.6,13,0.0,152,36.4,43.1,935.99,935.99
GK-11760,Delhi,Nehru Place,2026-03-23,0,12.8,26,0.0,74,42.4,61.9,1443.08,1443.08
GK-10908,Chennai,Sholinganallur,2025-12-16,1,14.0,39,0.0,100,31.1,87.1,1539.53,1539.53
GK-10515,Delhi,Saket,2025-10-01,2,14.0,36,0.0,21,30.0,46.7,1981.98,1981.98
GK-11108,Delhi,Lajpat Nagar,2026-01-15,3,8.8,15,0.0,500,29.8,36.0,877.03,877.03
GK-10790,Chennai,Velachery,2026-02-27,4,12.5,37,1.1,23,27.6,37.5,1226.1,1226.1
GK-10607,Chennai,Tambaram,2025-10-28,1,7.1,13,0.0,63,29.1,54.5,654.48,654.48
GK-11861,Chennai,Adyar,2026-01-31,5,7.4,15,0.9,117,30.2,42.5,752.88,752.88
GK-10938,Mumbai,Bandra,2025-12-05,4,9.1,20,0.0,187,20.8,59.0,1010.78,1010.78
GK-11624,Chennai,Chromepet,2026-02-24,1,10.2,30,0.0,126,25.7,31.6,600.93,600.93
GK-10420,Delhi,Janakpuri,2026-03-01,6,11.3,31,0.0,136,23.0,43.5,1790.06,1790.06
GK-10641,Chennai,Adyar,2026-03-12,3,4.7,12,0.0,115,30.1,33.1,529.53,529.53
GK-11744,Chennai,Sholinganallur,2026-02-26,3,7.6,19,0.0,105,30.4,68.9,665.07,665.07
GK-11592,Chennai,Velachery,2025-11-16,6,14.0,26,0.0,92,29.2,75.1,1495.1,1495.1
GK-10146,Delhi,Rohini,2026-03-26,3,10.0,21,0.0,118,39.2,35.9,783.11,783.11
GK-10496,Chennai,Mylapore,2025-10-22,2,11.7,18,32.0,134,28.6,51.6,929.62,929.62
GK-10057,Mumbai,Powai,2026-03-22,6,10.8,30,0.0,118,31.8,46.3,1847.29,1847.29
GK-10528,Mumbai,Borivali,2026-03-16,0,8.2,21,0.0,123,30.1,42.5,953.71,953.71
GK-10585,Mumbai,Dadar,2026-03-04,2,11.2,32,0.0,98,36.2,68.4,1010.69,1010.69
GK-11234,Delhi,Nehru Place,2025-12-08,0,7.1,17,0.0,340,22.8,62.3,810.07,810.07
GK-11052,Delhi,Chandni Chowk,2025-11-03,0,4.9,14,0.0,377,34.4,47.8,566.66,566.66
GK-10916,Chennai,T. Nagar,2025-12-17,2,7.5,21,0.0,97,25.4,93.4,704.13,704.13
GK-11946,Mumbai,Andheri,2026-03-06,4,8.2,19,0.0,144,32.5,58.6,1245.92,1245.92
GK-11873,Mumbai,Bandra,2025-10-30,3,8.4,14,0.0,160,32.5,68.0,702.49,702.49
GK-11427,Chennai,Chromepet,2026-03-24,1,14.0,41,0.0,128,35.7,38.5,1607.27,1607.27
GK-10854,Delhi,Nehru Place,2025-12-15,0,8.8,13,1.6,413,36.9,63.4,789.78,789.78
GK-10119,Delhi,Lajpat Nagar,2025-10-27,0,10.8,17,0.0,86,36.5,62.7,1537.87,1537.87
GK-11629,Mumbai,Kurla,2025-10-20,0,7.3,14,0.0,123,35.6,42.9,727.03,727.03
GK-11527,Chennai,T. Nagar,2026-02-10,1,8.3,18,0.0,132,29.4,64.6,1275.18,1275.18
GK-11882,Delhi,Janakpuri,2025-12-19,4,13.7,31,0.0,246,36.1,36.0,1326.96,1326.96
GK-11409,Mumbai,Powai,2025-11-22,5,5.4,11,0.0,123,28.1,54.2,581.48,581.48
GK-10811,Delhi,Lajpat Nagar,2026-01-28,2,7.2,17,0.0,370,15.7,46.4,646.59,646.59
GK-11180,Delhi,Saket,2026-02-21,5,7.2,16,0.0,124,23.1,43.5,1101.34,1101.34
GK-10371,Delhi,Rohini,2025-12-10,2,12.2,18,0.0,273,36.2,39.0,1176.07,1176.07
GK-11608,Delhi,Lajpat Nagar,2025-11-06,3,10.4,16,0.0,411,40.7,67.4,919.72,919.72
GK-11304,Delhi,Janakpuri,2026-01-05,0,7.6,12,0.0,402,40.8,66.0,656.85,656.85
GK-10654,Mumbai,Andheri,2026-01-18,6,7.1,17,0.0,110,22.4,46.6,1276.35,1276.35
GK-10559,Mumbai,Goregaon,2026-02-12,3,4.4,10,0.0,185,22.4,42.8,566.0,566.0
GK-11694,Chennai,Mylapore,2026-03-11,2,9.8,19,0.0,117,31.5,65.5,1100.49,1100.49
GK-11735,Chennai,Porur,2026-03-05,3,11.1,17,0.0,113,37.5,65.3,1606.72,1606.72
GK-10443,Delhi,Saket,2026-03-04,2,14.0,39,0.0,82,35.5,66.3,1704.68,1704.68
GK-10619,Mumbai,Navi Mumbai,2026-01-01,3,6.0,13,0.0,124,25.7,40.3,461.83,461.83
GK-10842,Delhi,Dwarka,2025-12-23,1,13.7,33,0.0,397,37.5,46.3,1292.06,1292.06
GK-11457,Delhi,Dwarka,2026-03-03,1,9.6,27,0.0,211,33.4,55.9,965.28,965.28
GK-10051,Chennai,Velachery,2025-11-18,1,10.5,19,5.0,92,30.2,65.3,1636.94,1636.94
GK-10926,Chennai,Adyar,2026-01-20,1,9.9,21,0.0,108,31.4,58.6,889.48,889.48
GK-11471,Delhi,Pitampura,2026-01-19,0,10.6,25,0.0,396,22.8,33.3,1712.62,1712.62
GK-11077,Chennai,Velachery,2025-10-31,4,13.3,37,23.3,20,34.1,79.0,877.63,877.63
GK-10201,Mumbai,Powai,2025-11-22,5,12.7,27,0.0,123,28.1,54.2,1473.76,1473.76
GK-10509,Delhi,Dwarka,2025-11-18,1,8.9,19,0.1,170,22.2,48.0,1033.26,1033.26
GK-11730,Delhi,Karol Bagh,2025-10-02,3,10.8,20,0.0,84,44.4,45.3,917.31,917.31
GK-11981,Delhi,Rohini,2026-03-09,0,11.2,29,0.0,122,25.6,69.3,1552.58,1552.58
GK-10949,Mumbai,Dadar,2025-12-17,2,10.6,27,0.0,90,29.8,49.4,1499.03,1499.03
GK-11279,Mumbai,Bandra,2025-10-15,2,13.9,25,0.0,39,27.8,66.0,1154.29,1154.29
GK-10032,Mumbai,Goregaon,2026-03-20,4,10.9,24,0.0,40,31.5,40.6,1386.22,1386.22
GK-11670,Delhi,Lajpat Nagar,2026-01-30,4,8.9,13,0.0,258,37.3,44.6,1251.1,1251.1
GK-10510,Delhi,Chandni Chowk,2025-11-08,5,14.0,39,0.0,434,44.4,66.4,1302.96,1302.96
GK-11041,Chennai,Chromepet,2026-02-16,0,7.0,20,0.0,93,29.3,59.6,701.67,701.67
GK-10525,Delhi,Rohini,2025-10-02,3,9.3,22,0.0,167,32.0,57.0,1251.78,1251.78
GK-11000,Delhi,Saket,2025-11-02,6,11.4,17,0.0,272,27.1,36.3,1324.01,1324.01
GK-10711,Delhi,Dwarka,2026-02-27,4,14.0,22,0.0,108,25.5,46.7,1077.54,1077.54
GK-10165,Chennai,Mylapore,2026-01-23,4,10.6,28,0.0,104,32.4,40.5,1345.43,1345.43
GK-10334,Mumbai,Kurla,2025-12-16,1,3.6,9,0.0,214,22.4,30.1,271.8,271.8
GK-11832,Chennai,Chromepet,2026-03-20,4,5.5,13,0.0,121,37.8,33.3,438.74,438.74
GK-10985,Mumbai,Malad,2026-02-04,2,7.2,18,0.0,102,20.8,63.0,1023.61,1023.61
GK-10494,Chennai,Mylapore,2025-12-23,1,9.6,18,0.0,131,29.6,52.7,1620.74,1620.74
